0,1,hoy,adj_covid
01/01/2020,0,45,0
02/01/2020,0,55,0
03/01/2020,0,70,0
04/01/2020,0,55,0
05/01/2020,0,53,0
06/01/2020,0,73,0
07/01/2020,0,59,0
08/01/2020,0,83,0
09/01/2020,0,77,0
10/01/2020,0,85,0
11/01/2020,0,69,0
12/01/2020,0,71,0
13/01/2020,0,83,0
14/01/2020,0,79,0
15/01/2020,0,82,0
16/01/2020,0,80,0
17/01/2020,0,83,0
18/01/2020,0,63,0
19/01/2020,0,70,0
20/01/2020,0,66,0
21/01/2020,1,86,0.011627907
22/01/2020,0,97,0
23/01/2020,0,89,0
24/01/2020,0,89,0
25/01/2020,0,57,0
26/01/2020,0,83,0
27/01/2020,1,80,0.0125
28/01/2020,0,80,0
29/01/2020,0,81,0
30/01/2020,0,101,0
31/01/2020,1,106,0.009433962
01/02/2020,1,82,0.012195122
02/02/2020,0,73,0
03/02/2020,1,49,0.020408163
04/02/2020,1,83,0.012048193
05/02/2020,1,87,0.011494253
06/02/2020,1,108,0.009259259
07/02/2020,0,82,0
08/02/2020,1,67,0.014925373
09/02/2020,0,61,0
10/02/2020,0,87,0
11/02/2020,2,84,0.023809524
12/02/2020,0,89,0
13/02/2020,2,73,0.02739726
14/02/2020,3,108,0.027777778
15/02/2020,0,74,0
16/02/2020,1,71,0.014084507
17/02/2020,0,109,0
18/02/2020,0,94,0
19/02/2020,1,115,0.008695652
20/02/2020,1,117,0.008547009
21/02/2020,4,86,0.046511628
22/02/2020,0,72,0
23/02/2020,1,79,0.012658228
24/02/2020,3,101,0.02970297
25/02/2020,8,97,0.082474227
26/02/2020,4,92,0.043478261
27/02/2020,1,100,0.01
28/02/2020,1,97,0.010309278
29/02/2020,1,71,0.014084507
01/03/2020,3,72,0.041666667
02/03/2020,7,79,0.088607595
03/03/2020,2,107,0.018691589
04/03/2020,2,106,0.018867925
05/03/2020,4,96,0.041666667
06/03/2020,0,108,0
07/03/2020,0,72,0
08/03/2020,3,100,0.03
09/03/2020,6,102,0.058823529
10/03/2020,4,94,0.042553191
11/03/2020,2,91,0.021978022
12/03/2020,5,130,0.038461538
13/03/2020,6,125,0.048
14/03/2020,0,67,0
15/03/2020,3,50,0.06
16/03/2020,3,93,0.032258065
17/03/2020,4,116,0.034482759
18/03/2020,4,114,0.035087719
19/03/2020,4,97,0.041237113
20/03/2020,5,89,0.056179775
21/03/2020,2,62,0.032258065
22/03/2020,2,71,0.028169014
23/03/2020,7,91,0.076923077
24/03/2020,4,130,0.030769231
25/03/2020,0,92,0
26/03/2020,1,101,0.00990099
27/03/2020,0,83,0
28/03/2020,0,61,0
29/03/2020,1,61,0.016393443
30/03/2020,3,80,0.0375
31/03/2020,6,96,0.0625
01/04/2020,6,97,0.06185567
02/04/2020,3,84,0.035714286
03/04/2020,1,94,0.010638298
04/04/2020,4,65,0.061538462
05/04/2020,1,66,0.015151515
06/04/2020,1,74,0.013513514
07/04/2020,1,75,0.013333333
08/04/2020,2,75,0.026666667
09/04/2020,1,80,0.0125
10/04/2020,0,73,0
11/04/2020,3,59,0.050847458
12/04/2020,0,45,0
13/04/2020,2,79,0.025316456
14/04/2020,2,97,0.020618557
15/04/2020,2,94,0.021276596
16/04/2020,1,81,0.012345679
17/04/2020,2,106,0.018867925
18/04/2020,0,54,0
19/04/2020,0,60,0
20/04/2020,1,96,0.010416667
21/04/2020,2,109,0.018348624
22/04/2020,1,94,0.010638298
23/04/2020,0,105,0
24/04/2020,2,99,0.02020202
25/04/2020,1,61,0.016393443
26/04/2020,1,50,0.02
27/04/2020,2,83,0.024096386
28/04/2020,1,85,0.011764706
29/04/2020,2,80,0.025
30/04/2020,1,118,0.008474576
01/05/2020,1,98,0.010204082
02/05/2020,1,66,0.015151515
03/05/2020,0,39,0
04/05/2020,0,80,0
05/05/2020,1,86,0.011627907
06/05/2020,3,81,0.037037037
07/05/2020,2,108,0.018518519
08/05/2020,2,97,0.020618557
09/05/2020,2,65,0.030769231
10/05/2020,1,64,0.015625
11/05/2020,2,89,0.02247191
12/05/2020,0,98,0
13/05/2020,1,82,0.012195122
14/05/2020,1,92,0.010869565
15/05/2020,2,91,0.021978022
16/05/2020,0,66,0
17/05/2020,2,58,0.034482759
18/05/2020,0,102,0
19/05/2020,1,81,0.012345679
20/05/2020,2,88,0.022727273
21/05/2020,3,90,0.033333333
22/05/2020,2,97,0.020618557
23/05/2020,0,65,0
24/05/2020,1,55,0.018181818
25/05/2020,2,88,0.022727273
26/05/2020,1,88,0.011363636
27/05/2020,0,91,0
28/05/2020,1,87,0.011494253
29/05/2020,0,99,0
30/05/2020,1,65,0.015384615
31/05/2020,0,56,0
