fechas,serie,,,,,,
01/04/1994,10.866799,,,,,,
01/01/1995,16.86163271,,,,,,
01/02/1995,14.54330381,,,,,,
01/11/1995,11.40739319,,,,,,
01/09/1998,11.11833638,,,,,,
01/01/1999,12.57911386,,,,,,
01/09/2001,14.11215199,,,Periodos,Fecha inicio,Fecha Maximo,Evento
01/10/2001,14.88950399,,,1,01/04/1994,01/04/1994,
01/09/2002,10.0040776,,,2,01/01/1995,01/01/1995,Crisis Económica de 1995
01/01/2003,15.85612441,,,1,01/11/1995,01/11/1995,
01/02/2003,12.51153846,,,1,01/09/1998,01/09/1998,
01/03/2003,12.81628405,,,1,01/01/1999,01/01/1999,
01/10/2008,10.33112237,,,2,01/09/2001,01/10/2001,
01/08/2011,13.34726696,,,1,01/09/2002,01/09/2002,
01/09/2011,10.35136075,,,3,01/01/2003,01/01/2003,
01/12/2011,11.17396366,,,1,01/10/2008,01/10/2008,
01/01/2012,12.02721524,,,2,01/08/2011,01/08/2011,
01/02/2012,10.61819927,,,3,01/12/2011,01/01/2012,
01/06/2012,13.67965108,,,1,01/06/2012,01/06/2012,
01/11/2016,11.26802994,,,1,01/11/2016,01/11/2016,
01/01/2017,13.96160609,,,2,01/01/2017,01/01/2017,
01/02/2017,9.996808557,,,3,01/06/2019,01/08/2019,
01/06/2019,11.63091563,,,5,01/12/2019,01/03/2020,Coronavirus
01/08/2019,13.40027933,,,,,,
01/09/2019,10.64031614,,,,,,
01/12/2019,10.77021781,,,,,,
01/01/2020,11.83213354,,,,,,
01/02/2020,12.39651036,,,,,,
01/03/2020,14.71341026,,,,,,
01/04/2020,13.14881471,,,,,,
